what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633731914
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386633731999
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386633764340
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386633765746
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633766748
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633769170
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633773470
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1386633775819
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633775833
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633776292
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633781005
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633784221
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633786325
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386633787211
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1386633788270
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386633788983
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633790173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633790934
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633790988
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386633793806
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633798690
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1386633800726
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633800741
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386633802373
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1386633843267
