what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386633844812
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633929317
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633935841
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386633935884
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1386633945850
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386633991559
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386634026102
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386634118316
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386634124369
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1386634124505
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1386634133608
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1386634134974
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1386634139377
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386634151162
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386634179931
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1386634187677
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634188695
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189189
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189225
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189263
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189290
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189320
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189357
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189387
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1386634189428
