what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109301871
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109304884
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109314898
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386109316267
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109318249
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1386109320338
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109320354
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386109321983
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1386109323185
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386109324719
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109410835
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109416877
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386109418233
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109420930
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1386109423148
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109423167
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386109424781
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1386109426032
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386109427561
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109455348
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109568168
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109578030
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386109579760
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386109580242
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1386109766983
