what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384720651592
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384720654131
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384720655324
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720656736
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1384720666639
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720666657
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1384720668816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720669152
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720670349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720671215
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720676944
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384720677718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720681216
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720684486
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384720689728
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720691133
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1384720693947
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1384720702430
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720702447
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720703605
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720705088
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1384720705370
stopped,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1384720705372
stopped,bundle,com.altera.sbtgui.gprof,9.1.0.222,com.altera.sbtgui.gprof,1384720705373
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1384720705374
