what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.core,5.0.2.200902130801,org.eclipse.cdt.debug.core,1386630955909
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1386630967669
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630967965
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630968040
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630969739
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630970176
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630986802
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386630989357
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1386630989563
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386630991157
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386630994110
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386630997285
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386631000885
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386631000968
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1386631008287
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386631008301
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386631010052
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1386631010312
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200902130801,org.eclipse.cdt.debug.mi.core,1386631010329
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386631012831
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386631019827
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1386631027056
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1386631177412
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1386631180280
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386631180723
