what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386028064720
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386028065621
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1386028067676
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1386028069184
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386029350997
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386029495302
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1386029495348
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386029497414
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1386029498714
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1386029499112
stopped,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1386029499113
stopped,bundle,com.altera.sbtgui.gprof,9.1.0.222,com.altera.sbtgui.gprof,1386029499114
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1386029499115
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1386029499116
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1386029499116
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1386029499118
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1386029499119
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1386029499135
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1386029499136
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1386029499136
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1386029499136
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1386029499136
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1386029499137
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1386029499137
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200902130801,org.eclipse.cdt.mylyn.ui,1386029499138
