what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384720425425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720428321
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384720430442
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720430460
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384720432162
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384720433372
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384720434906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720443981
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720493493
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720494961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720552559
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384720555145
started,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1384720568561
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1384720568565
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720568906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720587160
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384720587214
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720591734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720600351
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384720600355
executed,command,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin.commands.flashCommand,1384720603047
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720603403
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720649989
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720650443
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384720651542
