what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384817339325
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384817371570
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384817373894
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384817375923
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384817375943
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384817377537
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384817378809
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384817380350
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384817839801
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384817843621
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384817845526
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384817845545
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384817847144
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384817848371
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384817849916
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384818536067
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384818538249
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384818540274
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384818540291
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384818541869
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384818543123
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384818544652
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384820287258
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384821263121
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384821265320
