what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467420459
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384467422565
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467422585
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384467424348
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467425042
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384467425614
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384467427165
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467435419
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467515683
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467592156
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384467593094
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384467619722
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467622123
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384467624507
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467624583
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384467626339
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384467627581
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384467629230
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467678196
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467701959
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384467702618
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1384467718377
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467724948
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384467725860
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1384467751421
