what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384722308206
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1384722387954
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1384722414312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384722489475
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384722492264
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384722495831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723183922
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384723229902
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384723233333
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384723234810
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723235238
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723237593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723242501
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384723244608
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723244626
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384723246318
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384723247524
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384723249082
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723433872
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723652237
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384723653758
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384723659603
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723670472
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384723672527
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384723672544
