what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1395881582268
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1395881582349
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1395881582358
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1395881582393
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1395881583682
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1395881583702
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881585538
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881635281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881635281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881635297
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881636721
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.core,1395881647935
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1395881648196
started,bundle,org.eclipse.cdt.make.core,5.0.2.200902130801,org.eclipse.cdt.make.core,1395881648252
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881649248
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881649248
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881649277
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1395881649678
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881650921
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881662171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1395881662171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1395881662182
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1395881666392
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1395881666487
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1395881669138
